Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
دايخ ب زمن بايخ,230083,58,1.53,3.0,1920,2840,8539
Lacyboy21,229592,26,1.09,1.6,1672,1786,9492
RD_ShadowWarrior,473095,152,1.36,5.4,2812,3623,19189
ꙮKυʂԋKιʂʂҽʂꙮ,82790,12,1.09,1.4,830,895,3509
IZUM0X,333306,75,2.08,5.0,1487,2931,13076
fredrickzoller01,483870,251,3.04,9.1,2773,7668,17927
ttv. Au_ThatHurt,403928,161,2.11,6.8,2383,4689,15409
ṨHADOWッ,93456,26,0.87,1.3,1978,1699,3788
Ttv Don_Ivory,149499,22,1.46,2.4,918,1305,5858
miLk_33,365871,39,1.14,1.7,2256,2522,16364
Juliana x,368430,28,1.02,1.3,2158,2171,16981
OG Orio,104170,17,1.57,2.6,651,994,3891
TTVGrazyna123,219937,46,1.6,2.6,1803,2803,8515
Notorious Lo,22837,5,0.69,1.7,296,200,1011
arc0se ttv,611250,233,3.14,10.3,2254,6354,21753
Normich,88834,20,1.28,2.8,708,880,3843
JayRᵀⱽ,340896,50,1.87,3.0,1674,3031,12867
Aykut MT,136514,18,1.43,2.0,912,1282,5364
WsaMZ,436054,66,1.63,2.8,2398,3793,18042
やんキーくん,261300,82,2.2,5.4,1509,3146,9680
ᴅʜᴋ,761160,364,2.8,12.8,2852,6967,28376
Eskosr,982031,723,6.96,32.5,2224,10445,30317
DinD0ni,275629,17,0.95,1.2,1431,1344,11890
SAd NtinakiDim,397782,82,1.09,2.9,2797,2960,16839
WarriorPixie,263721,12,0.67,0.7,1807,1210,11824
Jakk3dd,430940,213,3.2,10.1,2101,6036,14321
LOKO2g,182711,88,2.27,4.7,1859,4018,6621
SaltyTV.,176165,64,2.23,4.7,1348,2869,6301
ずっきーいずごっど,581320,374,5.46,22.7,1645,6944,18228
Chickuh,13598,1,0.41,0.4,233,96,661
LP toothpiqk,184367,218,2.76,8.5,2567,6490,5802
Tiger_Sniper7,70656,23,1.1,4.9,472,495,3022
NightOwlLuna,6876,0,0.26,0.0,106,28,324
Watary-DtoXx,291927,67,0.71,3.0,2238,1537,13372
